,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5,row_id,date,hour,NO2_hour,SO2_hour,PM2.5_hour,PM10_hour,O3_hour,CO_hour,PC1_ProGeorgia,PC2_ProWest,TrustScore
14,2019-10-11,14,1,1,3,211003715,24,1,0,1,1,2,1,1,1,5,4,1,1,4,4,5,5,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,14,2019-10-11,14.0,22.11,10.3325,12.9,31.016,31.5325,0.4466666666666667,-0.31893000347443384,1.6624775513944177,-0.27141808485727903
15,2019-10-11,14,1,1,3,10100506,20,2,0,3,1,3,3,3,4,4,3,3,4,5,3,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,15,2019-10-11,14.0,22.11,10.3325,12.9,31.016,31.5325,0.4466666666666667,1.5299728011145353,-0.20989850966540816,1.302048358694237
16,2019-10-11,14,1,1,3,40302504,58,2,0,2,6,2,2,3,2,3,2,2,3,4,2,2,2,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,16,2019-10-11,14.0,22.11,10.3325,12.9,31.016,31.5325,0.4466666666666667,-0.5226459599700402,-1.030294751685324,-0.4447858902206857
18,2019-10-11,14,9,2,3,687909801,50,2,1,1,2,3,3,4,3,4,3,1,1,5,3,3,3,9,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,35.33,1.09,34.56,78.16499999999999,53.12,0.23,18,2019-10-11,14.0,15.63,0.575,11.535,26.39,27.83,0.11,0.4253949841724691,-0.6184701265872615,0.3620226716024216
19,2019-10-11,14,1,1,3,20201405,47,2,1,5,2,1,1,2,2,3,4,4,3,5,1,5,5,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,19,2019-10-11,14.0,22.11,10.3325,12.9,31.016,31.5325,0.4466666666666667,-0.06865437768020485,1.1619950417501559,-0.05842673785479476
21,2019-10-11,15,1,1,3,10100509,65,2,0,3,1,1,1,1,1,3,3,3,3,4,4,3,1,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,21,2019-10-11,15.0,24.8675,10.75,14.432,33.942,34.6525,0.47,-0.9765550440487647,0.34092787644039785,-0.8310748343709184
22,2019-10-11,15,1,1,3,20201409,18,1,0,3,1,4,2,3,3,4,4,2,4,4,4,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,22,2019-10-11,15.0,24.8675,10.75,14.432,33.942,34.6525,0.47,1.3906107931154095,0.38402614120027717,1.1834475092886725
23,2019-10-11,15,9,2,3,687903602,44,2,0,2,5,1,1,1,1,1,1,3,3,5,1,3,3,9,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,35.33,1.09,34.56,78.16499999999999,53.12,0.23,23,2019-10-11,15.0,18.92,0.97,11.19,28.465000000000003,24.01,0.12,-1.6180300332101527,-0.38996488133606133,-1.3769874520151995
25,2019-10-11,15,9,2,3,687909802,31,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,9,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,35.33,1.09,34.56,78.16499999999999,53.12,0.23,25,2019-10-11,15.0,18.92,0.97,11.19,28.465000000000003,24.01,0.12,-2.5979538139252094,-0.02069058751186726,-2.210929172675876
26,2019-10-11,15,1,1,3,180904003,36,1,0,3,6,4,2,2,2,3,4,3,2,4,3,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,26,2019-10-11,15.0,24.8675,10.75,14.432,33.942,34.6525,0.47,0.3947321185249216,0.9043906073381747,0.3359277411172734
27,2019-10-11,16,1,1,3,20201410,18,2,0,3,1,2,3,1,1,3,3,3,3,3,4,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,27,2019-10-11,16.0,26.9575,11.765,15.034,36.082,38.1375,0.4733333333333333,0.09535337165030533,1.082925279007199,0.08114830601092968
28,2019-10-11,16,1,1,3,80505616,59,1,0,2,2,2,2,2,1,3,3,3,2,4,3,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,28,2019-10-11,16.0,26.9575,11.765,15.034,36.082,38.1375,0.4733333333333333,-0.2358699439461531,0.8491342817000875,-0.200731720953907
31,2019-10-11,17,1,1,3,180904004,52,2,0,3,2,4,4,4,4,4,3,3,4,4,3,3,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,31,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,1.9575185646437114,-0.5976993758642196,1.6659014018753389
32,2019-10-11,17,1,1,3,20201415,28,1,1,3,1,4,5,4,3,4,3,3,4,4,4,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,32,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,2.2921667110434467,-0.11793801293513567,1.9506960527622237
33,2019-10-11,17,1,1,3,40302516,62,2,1,3,1,2,2,2,1,2,2,2,2,3,2,2,2,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,33,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,-1.3314838268511282,-0.4844045930903615,-1.1331288570074716
35,2019-10-11,17,9,2,3,687909806,29,2,0,2,6,2,1,2,1,5,1,3,3,4,3,3,3,9,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,35.33,1.09,34.56,78.16499999999999,53.12,0.23,35,2019-10-11,17.0,28.25,0.62,27.32,63.69,14.13,0.1,-0.36447461801096415,-0.33202217360413927,-0.31017778735751433
36,2019-10-11,17,1,1,3,80505617,57,2,0,1,6,2,2,2,2,4,5,4,2,5,4,5,5,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,36,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,0.8708010242274806,1.9051837527789508,0.7410752946187651
