,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5,row_id,date,hour,NO2_hour,SO2_hour,PM2.5_hour,PM10_hour,O3_hour,CO_hour
143,2019-10-14,15,1,1,3,160804508,43,2,0,1,2,4,2,2,2,2,3,1,2,4,3,2,3,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,143,2019-10-14,15.0,25.0825,9.5,11.7975,29.009999999999998,44.9775,0.43999999999999995
144,2019-10-14,15,1,1,3,221008820,62,1,0,2,2,2,2,2,2,2,2,4,2,3,2,2,3,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,144,2019-10-14,15.0,25.0825,9.5,11.7975,29.009999999999998,44.9775,0.43999999999999995
145,2019-10-14,15,1,1,3,20102904,53,1,0,1,2,4,4,5,5,4,1,1,4,5,3,3,5,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,145,2019-10-14,15.0,25.0825,9.5,11.7975,29.009999999999998,44.9775,0.43999999999999995
146,2019-10-14,15,1,1,3,190907923,22,1,1,1,1,3,2,2,2,2,2,2,2,3,2,2,3,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,146,2019-10-14,15.0,25.0825,9.5,11.7975,29.009999999999998,44.9775,0.43999999999999995
147,2019-10-14,15,1,1,3,211005306,38,2,1,1,2,-1,3,3,3,3,2,3,3,4,-1,3,-1,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,147,2019-10-14,15.0,25.0825,9.5,11.7975,29.009999999999998,44.9775,0.43999999999999995
148,2019-10-14,15,1,1,3,221010114,56,1,0,3,2,2,2,3,1,4,3,4,4,4,4,2,3,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,148,2019-10-14,15.0,25.0825,9.5,11.7975,29.009999999999998,44.9775,0.43999999999999995
149,2019-10-14,16,1,1,3,80505326,66,2,0,3,8,2,3,3,1,4,3,3,3,4,3,4,-1,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,149,2019-10-14,16.0,26.62,9.870000000000001,14.405,33.13,50.519999999999996,0.41
150,2019-10-14,16,1,1,3,80506214,36,2,1,2,2,3,3,4,3,3,3,3,3,4,4,3,4,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,150,2019-10-14,16.0,26.62,9.870000000000001,14.405,33.13,50.519999999999996,0.41
151,2019-10-14,16,9,2,3,707906910,66,2,0,2,2,3,2,3,3,4,2,3,2,4,-1,2,2,9,35.7,0.505,18.39,45.595,38.54,0.22,21.16,0.435,10.125,24.61,32.99,0.14,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,151,2019-10-14,16.0,18.68,0.965,12.505,30.474999999999998,22.42,0.15
152,2019-10-14,16,1,1,3,180904801,31,2,0,3,2,3,1,1,1,1,-1,2,1,5,-1,-1,-1,1,24.80333333333333,8.87,15.445,34.415,70.14333333333333,0.7933333333333333,14.676666666666668,8.129999999999999,11.118,28.644,76.09666666666668,0.65,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,152,2019-10-14,16.0,26.62,9.870000000000001,14.405,33.13,50.519999999999996,0.41
