,Unnamed: 0,INT_DATE,STRATUM,COUNTRY,ID,AGE,RESPSEX,RESEMPL,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,hour,NO2,SO2,PM2.5,PM10,O3,CO,SO2_Daily,PM2.5_Daily,PM10_Daily,O3_Daily,CO_Daily,PC1
80,80,2017-09-24,1,3,1106078011,87,2,0,3,1,2,3,3,4,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.6968040686751454
81,81,2017-09-24,1,3,2110059018,18,2,0,2,1,1,2,3,5,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.02778015285962776
82,82,2017-09-24,1,3,1206049003,71,2,0,3,8,3,3,3,4,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,1.1582872668350621
83,83,2017-09-24,1,3,1709018002,68,2,0,3,8,1,2,1,2,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-2.0196604951903607
84,84,2017-09-24,1,3,2110039018,19,1,0,3,1,4,1,1,2,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.1702429687376896
85,85,2017-09-24,1,3,2110065012,26,2,0,2,4,3,1,1,1,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.9592175172690842
86,86,2017-09-24,1,3,2210091004,31,1,1,3,2,3,3,4,4,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,1.6907705653028389
87,87,2017-09-24,1,3,403042011,41,2,0,2,8,-1,4,4,4,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,
88,88,2017-09-24,1,3,1909066016,78,2,0,3,8,2,2,2,3,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.6982026481911888
89,89,2017-09-24,1,3,2110037008,27,2,0,1,6,4,2,2,2,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.10272760224283345
90,90,2017-09-24,1,3,1005030016,25,2,0,1,1,3,3,3,2,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.5033045660921055
91,91,2017-09-24,1,3,1306067006,75,2,0,3,1,3,1,1,1,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.9592175172690842
92,92,2017-09-24,1,3,302038024,24,2,1,3,1,2,2,3,4,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.16177200064806624
93,93,2017-09-24,1,3,1809051002,80,2,0,2,8,2,2,-1,3,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,
94,94,2017-09-24,1,3,1006106024,37,1,1,4,6,1,1,1,4,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.4433333333333333,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.8997098624744833
95,95,2017-09-24,1,3,403042013,20,2,0,3,1,2,3,3,3,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.3693127183036672
96,96,2017-09-24,1,3,1909066017,82,1,0,3,2,1,1,1,2,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-2.55469256321744
97,97,2017-09-24,1,3,1306062016,84,2,0,1,8,3,1,1,1,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-1.9592175172690842
98,98,2017-09-24,1,3,2210091006,68,2,0,3,1,2,4,4,1,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.7818453840555663
99,99,2017-09-24,1,3,2210080009,55,2,0,3,6,3,3,2,3,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.2983126179958071
100,100,2017-09-24,1,3,1206049004,37,2,0,3,4,2,4,4,4,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,1.764319435170001
101,101,2017-09-24,1,3,1006106018,58,2,1,3,2,4,4,5,5,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,3.5472604803290895
102,102,2017-09-24,1,3,1005030022,82,2,0,3,8,2,1,1,1,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-2.4207007154290014
103,103,2017-09-24,1,3,1809039008,53,2,0,2,8,-1,1,-1,4,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,
104,104,2017-09-24,1,3,1709017002,76,1,1,3,2,2,2,3,2,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.49321070009489054
105,105,2017-09-24,1,3,1709018005,38,1,0,3,2,3,3,3,3,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.8307959164635839
106,106,2017-09-24,1,3,2210080010,69,2,0,3,8,3,3,3,3,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,0.8307959164635839
107,107,2017-09-24,1,3,2110037011,28,1,0,3,1,2,5,5,5,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,3.1593261520363356
108,108,2017-09-24,1,3,1306067009,56,2,1,1,6,1,1,1,3,16,32.0,21.33333333333333,17.666666666666668,53.66666666666666,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-2.2272012128459617
109,109,2017-09-24,1,3,1206049005,18,2,0,3,1,4,2,2,2,17,43.0,20.0,17.666666666666668,57.66666666666666,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-0.10272760224283345
110,110,2017-09-24,1,3,1809051011,45,2,1,1,4,1,1,1,1,17,43.0,20.0,17.666666666666668,57.66666666666666,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,-2.882183913588918
111,111,2017-09-24,1,3,1909066020,54,2,1,3,6,4,4,4,4,17,43.0,20.0,17.666666666666668,57.66666666666666,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68,2.6872858314898345
