,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5,row_id,date,hour,NO2_hour,SO2_hour,PM2.5_hour,PM10_hour,O3_hour,CO_hour,TRUST_SCORE
14,2019-10-11,14,1,1,3,211003715,24,1,0,1,1,2,1,1,1,5,4,1,1,4,4,5,5,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,14,2019-10-11,14.0,22.11,10.3325,12.9,31.016,31.5325,0.4466666666666667,-0.27141808485727903
15,2019-10-11,14,1,1,3,10100506,20,2,0,3,1,3,3,3,4,4,3,3,4,5,3,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,15,2019-10-11,14.0,22.11,10.3325,12.9,31.016,31.5325,0.4466666666666667,1.302048358694237
16,2019-10-11,14,1,1,3,40302504,58,2,0,2,6,2,2,3,2,3,2,2,3,4,2,2,2,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,16,2019-10-11,14.0,22.11,10.3325,12.9,31.016,31.5325,0.4466666666666667,-0.4447858902206857
18,2019-10-11,14,9,2,3,687909801,50,2,1,1,2,3,3,4,3,4,3,1,1,5,3,3,3,9,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,35.33,1.09,34.56,78.16499999999999,53.12,0.23,18,2019-10-11,14.0,15.63,0.575,11.535,26.39,27.83,0.11,0.3620226716024216
19,2019-10-11,14,1,1,3,20201405,47,2,1,5,2,1,1,2,2,3,4,4,3,5,1,5,5,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,19,2019-10-11,14.0,22.11,10.3325,12.9,31.016,31.5325,0.4466666666666667,-0.05842673785479476
21,2019-10-11,15,1,1,3,10100509,65,2,0,3,1,1,1,1,1,3,3,3,3,4,4,3,1,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,21,2019-10-11,15.0,24.8675,10.75,14.432,33.942,34.6525,0.47,-0.8310748343709184
22,2019-10-11,15,1,1,3,20201409,18,1,0,3,1,4,2,3,3,4,4,2,4,4,4,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,22,2019-10-11,15.0,24.8675,10.75,14.432,33.942,34.6525,0.47,1.1834475092886725
23,2019-10-11,15,9,2,3,687903602,44,2,0,2,5,1,1,1,1,1,1,3,3,5,1,3,3,9,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,35.33,1.09,34.56,78.16499999999999,53.12,0.23,23,2019-10-11,15.0,18.92,0.97,11.19,28.465000000000003,24.01,0.12,-1.3769874520151995
25,2019-10-11,15,9,2,3,687909802,31,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,9,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,35.33,1.09,34.56,78.16499999999999,53.12,0.23,25,2019-10-11,15.0,18.92,0.97,11.19,28.465000000000003,24.01,0.12,-2.210929172675876
26,2019-10-11,15,1,1,3,180904003,36,1,0,3,6,4,2,2,2,3,4,3,2,4,3,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,26,2019-10-11,15.0,24.8675,10.75,14.432,33.942,34.6525,0.47,0.3359277411172734
27,2019-10-11,16,1,1,3,20201410,18,2,0,3,1,2,3,1,1,3,3,3,3,3,4,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,27,2019-10-11,16.0,26.9575,11.765,15.034,36.082,38.1375,0.4733333333333333,0.08114830601092968
28,2019-10-11,16,1,1,3,80505616,59,1,0,2,2,2,2,2,1,3,3,3,2,4,3,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,28,2019-10-11,16.0,26.9575,11.765,15.034,36.082,38.1375,0.4733333333333333,-0.200731720953907
31,2019-10-11,17,1,1,3,180904004,52,2,0,3,2,4,4,4,4,4,3,3,4,4,3,3,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,31,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,1.6659014018753389
32,2019-10-11,17,1,1,3,20201415,28,1,1,3,1,4,5,4,3,4,3,3,4,4,4,4,4,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,32,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,1.9506960527622237
33,2019-10-11,17,1,1,3,40302516,62,2,1,3,1,2,2,2,1,2,2,2,2,3,2,2,2,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,33,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,-1.1331288570074716
35,2019-10-11,17,9,2,3,687909806,29,2,0,2,6,2,1,2,1,5,1,3,3,4,3,3,3,9,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,35.33,1.09,34.56,78.16499999999999,53.12,0.23,35,2019-10-11,17.0,28.25,0.62,27.32,63.69,14.13,0.1,-0.31017778735751433
36,2019-10-11,17,1,1,3,80505617,57,2,0,1,6,2,2,2,2,4,5,4,2,5,4,5,5,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,36,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,0.7410752946187651
37,2019-10-11,17,1,1,3,20201416,72,2,0,3,8,3,3,3,3,3,5,3,3,3,3,4,5,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,37,2019-10-11,17.0,23.4275,11.4175,15.966,39.732,41.585,0.45,0.9896446065339602
38,2019-10-11,18,1,1,3,180903107,70,2,0,1,8,1,2,2,2,2,4,3,2,4,1,2,2,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,38,2019-10-11,18.0,31.2175,12.6175,16.838,44.312,43.1375,0.4533333333333333,-0.9737790710123563
39,2019-10-11,18,1,1,3,20201419,66,1,0,3,2,3,1,2,2,2,3,2,2,4,3,3,2,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,39,2019-10-11,18.0,31.2175,12.6175,16.838,44.312,43.1375,0.4533333333333333,-0.6455423727815274
41,2019-10-11,19,1,1,3,20201421,23,2,1,1,1,1,1,1,1,1,2,4,1,3,2,4,5,1,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,23.273333333333337,5.4,20.9,48.298,77.51666666666667,0.58,41,2019-10-11,19.0,34.7525,13.11,18.3,46.778,43.7475,0.4666666666666667,-1.2258288309533178
42,2019-10-12,11,9,2,3,687909807,33,2,0,2,2,3,1,3,1,4,2,2,3,4,1,1,1,9,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,42,2019-10-12,11.0,14.5,0.585,18.815,36.11,19.59,0.02,-0.8377097130593211
44,2019-10-12,12,9,2,3,687909808,36,1,1,2,2,4,4,4,4,3,2,4,4,4,4,4,4,9,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,44,2019-10-12,12.0,10.92,0.835,16.369999999999997,39.095,22.56,0.04,1.8020322918145866
45,2019-10-12,13,1,1,3,211003725,51,1,0,1,2,1,5,4,2,5,4,4,4,5,5,5,4,1,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,45,2019-10-12,13.0,23.435,9.25,11.656,37.17,58.4125,0.3633333333333333,1.9405351025938853
47,2019-10-12,13,1,1,3,20201403,19,1,0,3,1,4,2,2,1,4,4,4,4,5,3,5,3,1,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,47,2019-10-12,13.0,23.435,9.25,11.656,37.17,58.4125,0.3633333333333333,0.838865071411056
48,2019-10-12,14,9,2,3,687909810,28,2,1,2,2,3,3,3,3,3,3,3,3,3,4,3,3,9,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,48,2019-10-12,14.0,9.19,0.6100000000000001,10.175,28.685,28.55,0.1,0.6569302602683014
50,2019-10-12,14,1,1,3,20205108,20,2,0,2,1,3,3,3,3,1,3,3,3,3,3,3,3,1,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,50,2019-10-12,14.0,27.6375,9.075,12.888,36.636,58.2575,0.41,0.25718956038940194
51,2019-10-12,14,1,1,3,10100512,53,1,1,3,2,4,4,5,4,4,3,3,4,5,4,4,4,1,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,51,2019-10-12,14.0,27.6375,9.075,12.888,36.636,58.2575,0.41,2.1371808604381703
52,2019-10-12,14,1,1,3,20201422,70,2,0,1,8,3,3,3,1,4,4,3,3,4,3,4,3,1,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,52,2019-10-12,14.0,27.6375,9.075,12.888,36.636,58.2575,0.41,0.5938640686545202
53,2019-10-12,14,9,2,3,687909811,53,2,1,1,6,1,2,1,1,1,2,2,2,5,1,4,4,9,10.53,0.3999999999999999,13.275,33.3,38.57,0.18,22.72,0.51,20.185,50.945,47.75,0.32,26.09,0.63,9.09,24.4,44.49,0.41,22.44,0.495,16.32,50.41,54.19,0.21,32.81,0.97,11.08,29.33,46.06,0.23,15.28,0.55,15.235,39.515,38.44,0.18,53,2019-10-12,14.0,9.19,0.6100000000000001,10.175,28.685,28.55,0.1,-1.1927249744863508
55,2019-10-12,15,1,1,3,20201425,43,2,1,3,8,4,2,1,1,1,3,3,3,3,3,2,2,1,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,55,2019-10-12,15.0,32.7025,10.505,14.016,41.462,57.932500000000005,0.4566666666666667,-0.6037877738700872
56,2019-10-12,15,1,1,3,120605218,57,1,0,3,8,1,1,1,1,1,3,3,1,4,4,5,2,1,11.3,8.785,12.576,31.079999999999995,76.83666666666666,0.5066666666666667,15.756666666666666,9.447500000000002,17.386,40.116,51.64666666666667,0.5599999999999999,17.21,8.66,9.642,24.838,44.21666666666667,0.57,19.19,9.9475,13.868,35.33,52.55,0.8533333333333332,18.916666666666668,9.285,10.034,26.492,56.696666666666665,0.8566666666666668,14.593333333333334,6.865,13.669999999999998,32.774,82.87333333333333,0.51,56,2019-10-12,15.0,32.7025,10.505,14.016,41.462,57.932500000000005,0.4566666666666667,-1.1559330192532902
