,INT_DATE,INT_START,SUBSTRATUM,STRATUM,COUNTRY,ID,RESPAGE,RESPSEX,RESPEMP,RESPPOB,RESPMAR,TRUCRTS,TRUPARL,TRUEXEC,TRUPRES,TRUHLTH,TRUNGOS,TRUMEDI,TRULOCG,TRURELI,TRUOMB,TRUSTEU,TRUSTUN,Region_Code,NO<sub>2,SO<sub>2,PM2.5,PM10,O<sub>3,CO,NO<sub>2_lag1,SO<sub>2_lag1,PM2.5_lag1,PM10_lag1,O<sub>3_lag1,CO_lag1,NO<sub>2_lag2,SO<sub>2_lag2,PM2.5_lag2,PM10_lag2,O<sub>3_lag2,CO_lag2,NO<sub>2_lag3,SO<sub>2_lag3,PM2.5_lag3,PM10_lag3,O<sub>3_lag3,CO_lag3,NO<sub>2_lag4,SO<sub>2_lag4,PM2.5_lag4,PM10_lag4,O<sub>3_lag4,CO_lag4,NO<sub>2_lag5,SO<sub>2_lag5,PM2.5_lag5,PM10_lag5,O<sub>3_lag5,CO_lag5
573,2019-10-25,17,1,1,3,201001226,29,2,0,2,2,4,2,3,2,3,3,3,3,5,4,3,3,1,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.149999999999999,29.322000000000003,59.751999999999995,65.47333333333334,0.8866666666666667
574,2019-10-25,17,1,1,3,140701015,46,2,0,2,6,3,3,3,2,2,2,4,3,4,3,3,3,1,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.149999999999999,29.322000000000003,59.751999999999995,65.47333333333334,0.8866666666666667
575,2019-10-25,18,9,2,3,718100513,30,2,0,1,2,3,2,2,2,3,3,4,2,4,2,4,4,9,38.35,0.915,38.769999999999996,83.835,44.5,0.33,37.88,0.8500000000000001,35.519999999999996,74.21000000000001,44.16,0.24,39.45,0.9450000000000001,37.335,78.17,43.43,0.2,36.9,0.41000000000000003,32.725,64.855,43.99,0.61,33.87,1.16,41.325,73.92999999999999,33.26,0.38,38.08,2.105,40.875,80.35,42.34,0.36
576,2019-10-25,18,9,2,3,697906307,63,2,1,1,2,4,3,3,4,5,4,4,4,5,4,4,4,9,38.35,0.915,38.769999999999996,83.835,44.5,0.33,37.88,0.8500000000000001,35.519999999999996,74.21000000000001,44.16,0.24,39.45,0.9450000000000001,37.335,78.17,43.43,0.2,36.9,0.41000000000000003,32.725,64.855,43.99,0.61,33.87,1.16,41.325,73.92999999999999,33.26,0.38,38.08,2.105,40.875,80.35,42.34,0.36
577,2019-10-25,18,1,1,3,70401218,31,2,1,2,6,3,3,3,1,3,3,3,3,5,3,3,3,1,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.149999999999999,29.322000000000003,59.751999999999995,65.47333333333334,0.8866666666666667
578,2019-10-25,18,1,1,3,70401217,68,2,1,1,8,-1,1,1,1,3,1,2,3,4,3,-1,-1,1,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.149999999999999,29.322000000000003,59.751999999999995,65.47333333333334,0.8866666666666667
579,2019-10-25,19,9,2,3,718100508,62,2,1,1,-1,1,1,2,1,3,2,3,2,3,2,3,4,9,38.35,0.915,38.769999999999996,83.835,44.5,0.33,37.88,0.8500000000000001,35.519999999999996,74.21000000000001,44.16,0.24,39.45,0.9450000000000001,37.335,78.17,43.43,0.2,36.9,0.41000000000000003,32.725,64.855,43.99,0.61,33.87,1.16,41.325,73.92999999999999,33.26,0.38,38.08,2.105,40.875,80.35,42.34,0.36
580,2019-10-25,20,1,1,3,70401222,62,2,0,1,2,2,2,3,3,3,3,3,-1,5,3,-1,2,1,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333,22.680000000000003,10.149999999999999,29.322000000000003,59.751999999999995,65.47333333333334,0.8866666666666667
581,2019-10-26,12,1,1,3,50306515,39,2,1,1,2,2,3,3,1,2,4,3,3,2,4,4,3,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
582,2019-10-26,13,1,1,3,140702810,34,2,1,2,2,3,3,1,1,3,4,3,3,5,4,4,4,1,28.87,10.2675,24.55,57.88199999999999,58.916666666666664,0.93,26.653333333333332,9.845,25.214,59.128,58.47,0.81,23.833333333333332,9.715,25.78,56.655,61.163333333333334,0.8166666666666668,32.120000000000005,11.556666666666667,24.0375,53.9675,58.95666666666667,0.885,27.99,11.32,24.5475,51.265,60.74666666666667,0.8400000000000001,22.22,9.645,29.044,56.75599999999999,64.43,0.8033333333333333
