"INT_DATE","INT_START","SUBSTRATUM","STRATUM","COUNTRY","ID","RESPAGE","RESPSEX","RESPEMP","RESPPOB","RESPMAR","TRUCRTS","TRUPARL","TRUEXEC    ","TRUPRES","TRUHLTH","TRUNGOS","TRUMEDI","TRULOCG","TRURELI","TRUOMB","TRUSTEU","TRUSTUN"
2019-10-11,1960-01-01 14:34:00,1,1,3,180904001,34,2,0,3,4,2,3,2,2,3,3,3,3,4,4,3,-1
2019-10-11,1960-01-01 14:35:00,7,2,3,666710405,46,2,0,2,4,3,3,3,3,3,4,3,3,4,-1,4,4
2019-10-11,1960-01-01 14:37:00,9,2,3,687909801,50,2,1,1,4,3,3,4,3,4,3,1,1,5,3,3,3
2019-10-11,1960-01-01 14:38:00,6,2,3,413201703,42,1,1,2,3,3,2,3,1,3,3,3,3,5,3,3,3
2019-10-11,1960-01-01 14:42:00,1,1,3,20201405,47,2,1,5,4,1,1,2,2,3,4,4,3,5,1,5,5
2019-10-11,1960-01-01 14:52:00,4,3,3,322603307,32,1,1,1,1,4,-1,3,-1,3,-1,3,3,4,-1,4,4
2019-10-11,1960-01-01 14:53:00,7,2,3,646602802,42,1,1,1,4,1,1,1,1,3,1,3,2,2,1,1,-1
2019-10-11,1960-01-01 14:56:00,1,1,3,211003717,60,1,1,3,3,2,4,4,1,-1,4,2,4,3,2,5,-1
2019-10-11,1960-01-01 15:05:00,2,3,3,231101602,64,2,1,3,8,1,1,1,1,2,1,1,-1,5,1,1,1
2019-10-11,1960-01-01 15:23:00,6,2,3,413201704,62,2,0,4,4,-1,3,-1,2,3,3,3,-1,4,-1,4,3
2019-10-11,1960-01-01 15:23:00,1,1,3,10100509,65,2,0,3,1,1,1,1,1,3,3,3,3,4,4,3,1
2019-10-11,1960-01-01 15:33:00,1,1,3,20201409,18,1,0,3,1,4,2,3,3,4,4,2,4,4,4,4,4
2019-10-11,1960-01-01 15:42:00,9,2,3,687903602,44,2,0,2,5,1,1,1,1,1,1,3,3,5,1,3,3
2019-10-11,1960-01-01 15:44:00,1,1,3,120605210,52,2,1,2,4,1,1,2,3,2,1,3,2,3,3,2,-1
2019-10-11,1960-01-01 15:45:00,3,3,3,535004102,82,1,0,1,4,4,4,4,4,4,2,3,4,5,4,4,4
2019-10-11,1960-01-01 15:47:00,9,2,3,687909802,31,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3
2019-10-11,1960-01-01 15:49:00,7,2,3,666710407,22,2,0,1,1,3,2,3,2,3,2,3,3,4,3,3,3
2019-10-11,1960-01-01 15:52:00,1,1,3,180904003,36,1,0,3,6,4,2,2,2,3,4,3,2,4,3,4,4
2019-10-11,1960-01-01 15:56:00,7,2,3,646602803,28,2,1,1,4,3,4,4,3,4,4,4,4,4,4,4,4
2019-10-11,1960-01-01 15:58:00,4,3,3,322603308,61,1,0,3,-3,3,3,3,2,4,3,4,2,4,3,4,-1
2019-10-11,1960-01-01 16:09:00,1,1,3,20201410,18,2,0,3,1,2,3,1,1,3,3,3,3,3,4,4,4
2019-10-11,1960-01-01 16:28:00,6,2,3,413201708,35,2,0,1,-3,3,1,-1,2,4,3,3,3,4,3,3,3
2019-10-11,1960-01-01 16:31:00,1,1,3,80505616,59,1,0,2,4,2,2,2,1,3,3,3,2,4,3,4,4
2019-10-11,1960-01-01 16:35:00,9,2,3,687909803,79,1,0,2,8,4,3,3,3,4,3,3,-1,4,3,3,3
2019-10-11,1960-01-01 16:36:00,7,2,3,666710410,22,1,0,1,1,3,3,3,2,3,2,3,3,3,3,3,3
2019-10-11,1960-01-01 16:40:00,9,2,3,687903603,32,2,0,1,1,-1,-1,4,1,1,4,4,4,5,4,4,4
2019-10-11,1960-01-01 17:00:00,3,3,3,535004103,42,1,1,1,4,4,4,4,4,4,2,2,4,5,4,4,4
2019-10-11,1960-01-01 17:01:00,1,1,3,180904004,52,2,0,3,4,4,4,4,4,4,3,3,4,4,3,3,4
2019-10-11,1960-01-01 17:06:00,1,1,3,20201415,28,1,1,3,1,4,5,4,3,4,3,3,4,4,4,4,4
2019-10-11,1960-01-01 17:06:00,1,1,3,40302516,62,2,1,3,1,2,2,2,1,2,2,2,2,3,2,2,2
2019-10-11,1960-01-01 17:12:00,6,2,3,413201705,67,1,0,4,6,2,2,2,2,2,-1,3,2,4,1,2,3
2019-10-11,1960-01-01 17:21:00,1,1,3,120605213,62,2,1,4,2,1,1,1,1,2,1,3,2,5,3,-1,-1
2019-10-11,1960-01-01 17:28:00,9,2,3,687909806,29,2,0,2,6,2,1,2,1,5,1,3,3,4,3,3,3
2019-10-11,1960-01-01 17:30:00,7,2,3,666710414,56,1,0,1,2,-1,3,3,-1,3,3,3,3,4,-1,4,4
2019-10-11,1960-01-01 17:37:00,1,1,3,80505617,57,2,0,1,6,2,2,2,2,4,5,4,2,5,4,5,5
2019-10-11,1960-01-01 17:41:00,1,1,3,20201416,72,2,0,3,8,3,3,3,3,3,5,3,3,3,3,4,5
2019-10-11,1960-01-01 18:00:00,7,2,3,646602806,82,1,0,2,8,-1,4,3,5,4,4,5,5,5,5,5,5
2019-10-11,1960-01-01 18:03:00,6,2,3,413201701,61,2,0,2,8,2,2,2,3,3,3,5,2,5,3,5,4
2019-10-11,1960-01-01 18:06:00,1,1,3,180903107,70,2,0,1,8,1,2,2,2,2,4,3,2,4,1,2,2
2019-10-11,1960-01-01 18:10:00,7,2,3,666710413,70,2,0,2,8,3,3,3,3,3,3,3,3,5,3,3,3
2019-10-11,1960-01-01 18:35:00,1,1,3,20201419,66,1,0,3,2,3,1,2,2,2,3,2,2,4,3,3,2
2019-10-11,1960-01-01 18:59:00,8,2,3,302005005,64,1,1,2,3,1,3,1,1,4,4,3,-1,5,5,4,5
2019-10-11,1960-01-01 19:06:00,1,1,3,180903108,72,1,1,1,2,4,3,-1,-1,5,-1,3,5,5,4,4,4
2019-10-11,1960-01-01 19:18:00,1,1,3,20201421,23,2,1,1,1,1,1,1,1,1,2,4,1,3,2,4,5
2019-10-12,1960-01-01 09:29:00,2,3,3,393002102,20,1,1,3,1,3,4,3,3,3,4,4,4,4,-1,3,-1
2019-10-12,1960-01-01 10:03:00,4,3,3,322603309,60,1,0,3,2,3,2,3,1,4,2,3,4,4,1,4,2
2019-10-12,1960-01-01 10:37:00,2,3,3,393002103,70,2,0,3,2,2,2,3,2,2,4,3,3,4,3,3,3
2019-10-12,1960-01-01 10:43:00,3,3,3,584301001,71,1,1,1,4,1,3,3,3,4,3,3,1,3,1,1,2
2019-10-12,1960-01-01 10:52:00,3,3,3,584301002,85,2,0,1,8,2,3,3,4,4,2,4,4,4,3,4,3
2019-10-12,1960-01-01 11:11:00,3,3,3,584301004,85,1,0,1,4,1,3,3,3,4,1,3,3,4,4,4,4
2019-10-12,1960-01-01 11:12:00,2,3,3,403301901,72,2,0,2,8,1,1,1,1,3,2,1,1,1,1,2,3
2019-10-12,1960-01-01 11:15:00,4,3,3,453900203,57,2,1,2,2,3,3,3,3,5,3,3,3,3,3,4,3
2019-10-12,1960-01-01 11:22:00,4,3,3,453900204,31,2,0,3,2,3,2,3,4,5,3,3,3,5,4,4,4
2019-10-12,1960-01-01 11:36:00,4,3,3,322603311,35,1,0,3,1,4,4,4,3,4,3,4,4,5,4,3,4
2019-10-12,1960-01-01 11:45:00,2,3,3,393002104,66,2,1,2,2,-1,-1,-1,3,3,4,3,3,4,-1,-1,-1
2019-10-12,1960-01-01 11:47:00,3,3,3,584600304,77,1,1,1,2,2,2,2,1,4,3,3,3,5,3,3,3
2019-10-12,1960-01-01 11:50:00,2,3,3,231101607,67,2,1,1,2,1,1,1,1,3,-1,1,4,5,3,1,1
2019-10-12,1960-01-01 11:57:00,7,2,3,545500306,48,2,0,1,5,2,3,3,3,3,2,3,3,4,3,3,2
2019-10-12,1960-01-01 11:59:00,9,2,3,687909807,33,2,0,2,3,3,1,3,1,4,2,2,3,4,1,1,1
2019-10-12,1960-01-01 12:00:00,3,3,3,666704301,54,2,0,1,2,3,3,3,3,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 12:02:00,3,3,3,504902101,46,2,0,2,4,-1,1,1,1,4,1,2,1,5,3,3,4
2019-10-12,1960-01-01 12:12:00,3,3,3,584600307,72,1,0,1,2,2,2,1,2,3,1,3,2,5,2,4,1
2019-10-12,1960-01-01 12:12:00,4,3,3,453900208,36,2,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3
2019-10-12,1960-01-01 12:13:00,1,1,3,211003711,25,2,1,3,1,1,-1,1,-1,-1,1,-1,1,-1,4,1,1
2019-10-12,1960-01-01 12:20:00,6,2,3,413201707,75,2,0,2,8,3,2,2,2,3,3,3,3,5,2,3,3
2019-10-12,1960-01-01 12:24:00,7,2,3,656709002,39,2,0,2,2,-1,3,3,3,3,-1,3,3,3,-1,-1,2
2019-10-12,1960-01-01 12:30:00,3,3,3,584301007,34,2,1,3,4,-1,-1,-1,2,2,-1,2,-1,4,-1,-1,-1
2019-10-12,1960-01-01 12:39:00,7,2,3,555400404,44,2,1,1,-3,3,2,3,3,4,3,3,3,5,2,3,1
2019-10-12,1960-01-01 12:40:00,9,2,3,687909808,36,1,1,2,3,4,4,4,4,3,2,4,4,4,4,4,4
2019-10-12,1960-01-01 12:43:00,3,3,3,584301008,70,2,1,2,2,3,4,4,4,4,2,4,2,4,3,4,4
2019-10-12,1960-01-01 12:45:00,2,3,3,393002105,64,2,0,3,8,2,2,2,2,2,3,3,3,4,2,2,2
2019-10-12,1960-01-01 12:56:00,7,2,3,656709003,62,2,1,3,1,3,3,3,3,4,3,3,3,4,3,3,3
