,row_id,date,hour,NO2,SO2,PM2.5,PM10,O3,CO,SO2_Daily,PM2.5_Daily,PM10_Daily,O3_Daily,CO_Daily
89,89,2017-09-24,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.44333333333333336,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
90,90,2017-09-24,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.44333333333333336,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
91,91,2017-09-24,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.44333333333333336,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
92,92,2017-09-24,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.44333333333333336,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
93,93,2017-09-24,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.44333333333333336,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
94,94,2017-09-24,15,37.5,20.666666666666668,17.333333333333332,59.333333333333336,55.625,0.44333333333333336,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
95,95,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
96,96,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
97,97,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
98,98,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
99,99,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
100,100,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
101,101,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
102,102,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
103,103,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
104,104,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
105,105,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
106,106,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
107,107,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
108,108,2017-09-24,16,32.0,21.333333333333332,17.666666666666668,53.666666666666664,61.5,0.4366666666666667,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
109,109,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
110,110,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
111,111,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
112,112,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
113,113,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
114,114,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
115,115,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
116,116,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
117,117,2017-09-24,17,43.0,20.0,17.666666666666668,57.666666666666664,66.38,0.4100000000000001,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
118,118,2017-09-24,18,31.5,22.0,20.0,67.66666666666667,69.625,0.39333333333333337,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
119,119,2017-09-24,18,31.5,22.0,20.0,67.66666666666667,69.625,0.39333333333333337,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
120,120,2017-09-24,18,31.5,22.0,20.0,67.66666666666667,69.625,0.39333333333333337,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
121,121,2017-09-24,18,31.5,22.0,20.0,67.66666666666667,69.625,0.39333333333333337,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
122,122,2017-09-24,18,31.5,22.0,20.0,67.66666666666667,69.625,0.39333333333333337,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
123,123,2017-09-24,18,31.5,22.0,20.0,67.66666666666667,69.625,0.39333333333333337,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
124,124,2017-09-24,19,47.5,18.0,19.0,71.0,68.06,0.4033333333333334,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
125,125,2017-09-24,19,47.5,18.0,19.0,71.0,68.06,0.4033333333333334,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
126,126,2017-09-24,19,47.5,18.0,19.0,71.0,68.06,0.4033333333333334,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
127,127,2017-09-24,19,47.5,18.0,19.0,71.0,68.06,0.4033333333333334,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
128,128,2017-09-24,20,38.5,18.0,17.666666666666668,67.0,65.69,0.41,17.44333333333333,20.80666666666667,55.723333333333336,69.625,0.68
129,129,2017-09-25,10,34.5,15.333333333333334,30.666666666666668,113.0,29.75,0.44333333333333336,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
130,130,2017-09-25,11,35.0,17.666666666666668,34.333333333333336,115.0,31.0,0.39000000000000007,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
131,131,2017-09-25,11,35.0,17.666666666666668,34.333333333333336,115.0,31.0,0.39000000000000007,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
132,132,2017-09-25,12,43.5,14.666666666666666,29.666666666666668,103.0,33.315,0.42,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
133,133,2017-09-25,12,43.5,14.666666666666666,29.666666666666668,103.0,33.315,0.42,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
134,134,2017-09-25,13,20.0,16.666666666666668,23.666666666666668,87.66666666666667,38.125,0.43333333333333335,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
135,135,2017-09-25,13,20.0,16.666666666666668,23.666666666666668,87.66666666666667,38.125,0.43333333333333335,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
136,136,2017-09-25,13,20.0,16.666666666666668,23.666666666666668,87.66666666666667,38.125,0.43333333333333335,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
137,137,2017-09-25,14,28.0,18.0,23.0,84.33333333333333,41.685,0.4533333333333333,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
138,138,2017-09-25,14,28.0,18.0,23.0,84.33333333333333,41.685,0.4533333333333333,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
139,139,2017-09-25,14,28.0,18.0,23.0,84.33333333333333,41.685,0.4533333333333333,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
140,140,2017-09-25,14,28.0,18.0,23.0,84.33333333333333,41.685,0.4533333333333333,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
141,141,2017-09-25,14,28.0,18.0,23.0,84.33333333333333,41.685,0.4533333333333333,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
142,142,2017-09-25,14,28.0,18.0,23.0,84.33333333333333,41.685,0.4533333333333333,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
143,143,2017-09-25,15,37.5,17.666666666666668,24.666666666666668,82.0,45.62,0.48,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
144,144,2017-09-25,15,37.5,17.666666666666668,24.666666666666668,82.0,45.62,0.48,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
145,145,2017-09-25,15,37.5,17.666666666666668,24.666666666666668,82.0,45.62,0.48,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
146,146,2017-09-25,15,37.5,17.666666666666668,24.666666666666668,82.0,45.62,0.48,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
147,147,2017-09-25,15,37.5,17.666666666666668,24.666666666666668,82.0,45.62,0.48,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
148,148,2017-09-25,16,46.5,17.666666666666668,25.666666666666668,80.33333333333333,49.25,0.5066666666666667,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
149,149,2017-09-25,16,46.5,17.666666666666668,25.666666666666668,80.33333333333333,49.25,0.5066666666666667,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
150,150,2017-09-25,16,46.5,17.666666666666668,25.666666666666668,80.33333333333333,49.25,0.5066666666666667,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
151,151,2017-09-25,16,46.5,17.666666666666668,25.666666666666668,80.33333333333333,49.25,0.5066666666666667,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
152,152,2017-09-25,16,46.5,17.666666666666668,25.666666666666668,80.33333333333333,49.25,0.5066666666666667,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
153,153,2017-09-25,17,62.0,17.333333333333332,26.666666666666668,82.66666666666667,50.875,0.53,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
154,154,2017-09-25,17,62.0,17.333333333333332,26.666666666666668,82.66666666666667,50.875,0.53,27.166666666666668,19.52,61.446666666666665,54.44,0.6933333333333334
